image,approach,vehicle_count_1min,volume_veh_per_hour,queue_length_veh,density_percent,avg_speed_kmh
frame_0324,CENTER,5,300,0,6.371300220489502,55.0
frame_0324,RIGHT,0,0,0,0.0,60.0
frame_0328,LEFT,5,300,0,7.9019999504089355,55.0
frame_0328,CENTER,5,300,0,6.514800071716309,55.0
frame_0328,RIGHT,0,0,0,0.0,60.0
frame_0229,LEFT,6,360,0,11.671600341796875,45.0
frame_0229,CENTER,4,240,0,2.9279000759124756,55.0
frame_0229,RIGHT,0,0,0,0.0,60.0
frame_0004,LEFT,5,300,0,5.100200176239014,55.0
frame_0004,CENTER,3,180,0,5.857100009918213,55.0
frame_0004,RIGHT,0,0,0,0.0,60.0
frame_0238,LEFT,5,300,0,3.603600025177002,55.0
frame_0238,CENTER,5,300,0,3.759700059890747,55.0
frame_0238,RIGHT,0,0,0,0.0,60.0
frame_0009,LEFT,6,360,0,7.466400146484375,55.0
frame_0009,CENTER,2,120,0,5.098700046539307,55.0
frame_0009,RIGHT,0,0,0,0.0,60.0
frame_0232,LEFT,6,360,0,7.974100112915039,55.0
frame_0232,CENTER,4,240,0,3.1526999473571777,55.0
frame_0232,RIGHT,0,0,0,0.0,60.0
frame_0092,LEFT,4,240,0,5.144700050354004,55.0
frame_0092,CENTER,3,180,0,10.930299758911133,45.0
frame_0092,RIGHT,0,0,0,0.0,60.0
frame_0286,LEFT,6,360,0,10.384300231933594,45.0
frame_0286,CENTER,6,360,0,9.552399635314941,55.0
frame_0286,RIGHT,0,0,0,0.0,60.0
frame_0354,LEFT,5,300,0,13.104599952697754,45.0
frame_0354,CENTER,4,240,0,10.265199661254883,45.0
frame_0354,RIGHT,0,0,0,0.0,60.0
frame_0131,LEFT,4,240,0,2.226099967956543,55.0
frame_0131,CENTER,3,180,0,4.575500011444092,55.0
frame_0131,RIGHT,0,0,0,0.0,60.0
frame_0348,LEFT,6,360,1,24.370800018310547,35.0
frame_0348,CENTER,4,240,0,10.866299629211426,45.0
frame_0348,RIGHT,0,0,0,0.0,60.0
frame_0305,LEFT,4,240,0,2.9472999572753906,55.0
frame_0305,CENTER,7,420,0,10.649100303649902,45.0
frame_0305,RIGHT,0,0,0,0.0,60.0
frame_0198,LEFT,4,240,0,8.388999938964844,55.0
frame_0198,CENTER,4,240,0,1.7477999925613403,55.0
frame_0198,RIGHT,0,0,0,0.0,60.0
frame_0133,LEFT,4,240,0,2.7720000743865967,55.0
frame_0133,CENTER,4,240,0,5.16480016708374,55.0
frame_0133,RIGHT,0,0,0,0.0,60.0
frame_0083,LEFT,3,180,0,2.97979998588562,55.0
frame_0083,CENTER,3,180,0,9.140000343322754,55.0
frame_0083,RIGHT,1,60,0,3.875699996948242,55.0
frame_0394,LEFT,4,240,0,6.85830020904541,55.0
frame_0394,CENTER,3,180,0,8.391900062561035,55.0
frame_0394,RIGHT,0,0,0,0.0,60.0
frame_0185,LEFT,4,240,0,3.563999891281128,55.0
frame_0185,CENTER,3,180,0,1.0331000089645386,55.0
frame_0185,RIGHT,0,0,0,0.0,60.0
frame_0359,LEFT,4,240,0,9.267200469970703,55.0
frame_0359,CENTER,5,300,0,8.672599792480469,55.0
frame_0359,RIGHT,0,0,0,0.0,60.0
frame_0279,LEFT,5,300,0,12.598299980163574,45.0
frame_0279,CENTER,6,360,0,7.524799823760986,55.0
frame_0279,RIGHT,0,0,0,0.0,60.0
frame_0159,LEFT,2,120,0,12.725799560546875,45.0
frame_0159,CENTER,6,360,0,9.486200332641602,55.0
frame_0159,RIGHT,0,0,0,0.0,60.0
frame_0045,LEFT,5,300,0,13.768199920654297,45.0
frame_0045,CENTER,2,120,0,6.397900104522705,55.0
frame_0045,RIGHT,1,60,0,5.776000022888184,55.0
frame_0208,LEFT,5,300,0,12.892000198364258,45.0
frame_0208,CENTER,6,360,0,2.8482000827789307,55.0
frame_0208,RIGHT,0,0,0,0.0,60.0
frame_0316,LEFT,4,240,0,3.8910999298095703,55.0
frame_0316,CENTER,6,360,0,5.8460001945495605,55.0
frame_0316,RIGHT,0,0,0,0.0,60.0
frame_0256,LEFT,5,300,0,11.812000274658203,45.0
frame_0256,CENTER,7,420,0,5.23829984664917,55.0
frame_0256,RIGHT,0,0,0,0.0,60.0
frame_0116,LEFT,2,120,0,0.8794000148773193,55.0
frame_0116,CENTER,5,300,0,10.463600158691406,45.0
frame_0116,RIGHT,0,0,0,0.0,60.0
frame_0352,LEFT,6,360,0,17.726900100708008,45.0
frame_0352,CENTER,4,240,0,10.501399993896484,45.0
