no,period,period_from_filename,cctv_id,overlay_date,overlay_time,timestamp_wib,ruas,video_file,selected_frame_path,selected_frame_second,selected_frame_file,location_type,location_text,km_text,km_decimal,manual_status,filename_parse_status,notes,camera_label,camera_key,camera_id,lat,lon,coordinate_source,confidence,coordinate_notes,coordinate_status,coordinate_issues,join_coordinate_status,weather_hour,temperature_2m,relative_humidity_2m,precipitation,rain,cloud_cover,wind_speed_10m,weather_code,weather_status,weather_error
21,pagi,pagi,cctv_004,2026-05-18,07:13:56,2026-05-18 07:13:56,Jakarta-Tangerang,pagi_cctv_004_20260518_071356.mp4,frames\pagi\pagi_cctv_004_20260518_071356_frame_3s.jpg,3,pagi_cctv_004_20260518_071356_frame_3s.jpg,km,KM 07+200,07+200,7.2,valid,valid,,KM 07+200,jakarta-tangerang_km_km_07plus200,CAM_011,-6.191635,106.730124,Google Maps,medium,,valid,,valid,2026-05-18T07:00,25.6,80,0.0,0.0,99,4.7,3,valid,
22,pagi,pagi,cctv_005,2026-05-18,07:23:12,2026-05-18 07:23:12,Jakarta-Tangerang,pagi_cctv_005_20260518_072312.mp4,frames\pagi\pagi_cctv_005_20260518_072312_frame_3s.jpg,3,pagi_cctv_005_20260518_072312_frame_3s.jpg,km,KM 04+600,04+600,4.6,valid,valid,,KM 04+600,jakarta-tangerang_km_km_04plus600,CAM_010,-6.191542,106.753315,Google Maps,medium,,valid,,valid,2026-05-18T07:00,26.2,79,0.0,0.0,98,3.1,3,valid,
23,pagi,pagi,cctv_006,2026-05-18,07:14:50,2026-05-18 07:14:50,Jakarta-Tangerang,pagi_cctv_006_20260518_071450.mp4,frames\pagi\pagi_cctv_006_20260518_071450_frame_3s.jpg,3,pagi_cctv_006_20260518_071450_frame_3s.jpg,km,KM 15+500,15+500,15.5,valid,valid,,KM 15+500,jakarta-tangerang_km_km_15plus500,CAM_006,-6.2265884,106.6163871,Google Maps,medium,,valid,,valid,2026-05-18T07:00,25.2,85,0.0,0.0,99,5.5,3,valid,
24,pagi,pagi,cctv_007,2026-05-16,07:26:12,2026-05-16 07:26:12,Jakarta-Tangerang,pagi_cctv_007_20260516_072612.mp4,frames\pagi\pagi_cctv_007_20260516_072612_frame_3s.jpg,3,pagi_cctv_007_20260516_072612_frame_3s.jpg,km,KM 11+600,11+600,11.6,valid,valid,,KM 11+600,jakarta-tangerang_km_km_11plus600,CAM_004,-6.2024517,106.7052155,Google Maps,medium,,valid,,valid,2026-05-16T07:00,26.4,91,0.4,0.4,98,1.6,51,valid,
25,pagi,pagi,cctv_008,2026-05-18,07:15:56,2026-05-18 07:15:56,Jakarta-Tangerang,pagi_cctv_008_20260518_071556.mp4,frames\pagi\pagi_cctv_008_20260518_071556_frame_3s.jpg,3,pagi_cctv_008_20260518_071556_frame_3s.jpg,km,KM 04+600,04+600,4.6,valid,valid,,KM 04+600,jakarta-tangerang_km_km_04plus600,CAM_010,-6.191542,106.753315,Google Maps,medium,,valid,,valid,2026-05-18T07:00,26.2,79,0.0,0.0,98,3.1,3,valid,
26,pagi,pagi,cctv_009,2026-05-18,07:16:25,2026-05-18 07:16:25,Jakarta-Tangerang,pagi_cctv_009_20260518_071625.mp4,frames\pagi\pagi_cctv_009_20260518_071625_frame_3s.jpg,3,pagi_cctv_009_20260518_071625_frame_3s.jpg,km,KM 11+600,11+600,11.6,valid,valid,,KM 11+600,jakarta-tangerang_km_km_11plus600,CAM_004,-6.2024517,106.7052155,Google Maps,medium,,valid,,valid,2026-05-18T07:00,25.6,80,0.0,0.0,99,4.7,3,valid,
27,pagi,pagi,cctv_010,2026-05-18,07:20:24,2026-05-18 07:20:24,Jakarta-Tangerang,pagi_cctv_010_20260518_072024.mp4,frames\pagi\pagi_cctv_010_20260518_072024_frame_3s.jpg,3,pagi_cctv_010_20260518_072024_frame_3s.jpg,km,KM 00+600,00+600,0.6,valid,valid,,KM 00+600,jakarta-tangerang_km_km_00plus600,CAM_002,-6.2131428,106.6837664,Google Maps,high,,valid,,valid,2026-05-18T07:00,25.6,80,0.0,0.0,99,4.7,3,valid,
28,pagi,pagi,cctv_011,2026-05-18,07:22:13,2026-05-18 07:22:13,Jakarta-Tangerang,pagi_cctv_011_20260518_072213.mp4,frames\pagi\pagi_cctv_011_20260518_072213_frame_3s.jpg,3,pagi_cctv_011_20260518_072213_frame_3s.jpg,gate,GT MERUYA 2B,,,valid,valid,,GT MERUYA 2B,jakarta-tangerang_gate_gt_meruya_2b,CAM_001,-6.1911513,106.7441887,Google Maps,high,,valid,,valid,2026-05-18T07:00,26.8,81,0.0,0.0,98,4.7,3,valid,
29,pagi,pagi,cctv_012,2026-05-18,07:22:37,2026-05-18 07:22:37,Jakarta-Tangerang,pagi_cctv_012_20260518_072237.mp4,frames\pagi\pagi_cctv_012_20260518_072237_frame_3s.jpg,3,pagi_cctv_012_20260518_072237_frame_3s.jpg,km,KM 07+200,07+200,7.2,valid,valid,,KM 07+200,jakarta-tangerang_km_km_07plus200,CAM_011,-6.191635,106.730124,Google Maps,medium,,valid,,valid,2026-05-18T07:00,25.6,80,0.0,0.0,99,4.7,3,valid,
30,pagi,pagi,cctv_013,2026-05-18,07:22:49,2026-05-18 07:22:49,Jakarta-Tangerang,pagi_cctv_013_20260518_072249.mp4,frames\pagi\pagi_cctv_013_20260518_072249_frame_3s.jpg,3,pagi_cctv_013_20260518_072249_frame_3s.jpg,km,KM 15+500,15+500,15.5,valid,valid,,KM 15+500,jakarta-tangerang_km_km_15plus500,CAM_006,-6.2265884,106.6163871,Google Maps,medium,,valid,,valid,2026-05-18T07:00,25.2,85,0.0,0.0,99,5.5,3,valid,
31,pagi,pagi,cctv_014,2026-05-18,07:22:55,2026-05-18 07:22:55,Jakarta-Tangerang,pagi_cctv_014_20260518_072255.mp4,frames\pagi\pagi_cctv_014_20260518_072255_frame_3s.jpg,3,pagi_cctv_014_20260518_072255_frame_3s.jpg,km,KM 17+500,17+500,17.5,valid,valid,,KM 17+500,jakarta-tangerang_km_km_17plus500,CAM_007,-6.2194495,106.6572624,Google Maps,medium,,valid,,valid,2026-05-18T07:00,25.2,85,0.0,0.0,99,5.5,3,valid,
32,pagi,pagi,cctv_015,2026-05-18,07:27:03,2026-05-18 07:27:03,Jakarta-Tangerang,pagi_cctv_015_20260518_072703.mp4,frames\pagi\pagi_cctv_015_20260518_072703_frame_3s.jpg,3,pagi_cctv_015_20260518_072703_frame_3s.jpg,km,KM 19+300,19+300,19.3,valid,valid,,KM 19+300,jakarta-tangerang_km_km_19plus300,CAM_008,-6.223512,106.623845,Google Maps,medium,,valid,,valid,2026-05-18T07:00,25.2,85,0.0,0.0,99,5.5,3,valid,
33,pagi,pagi,cctv_016,2026-05-18,07:29:24,2026-05-18 07:29:24,Jakarta-Tangerang,pagi_cctv_016_20260518_072924.mp4,frames\pagi\pagi_cctv_016_20260518_072924_frame_3s.jpg,3,pagi_cctv_016_20260518_072924_frame_3s.jpg,km,KM 25+500,25+500,25.5,valid,valid,,KM 25+500,jakarta-tangerang_km_km_25plus500,CAM_009,-6.234052,106.568412,Google Maps,medium,,valid,,valid,2026-05-18T07:00,25.2,87,0.0,0.0,88,5.0,3,valid,
34,siang,siang,cctv_001,2026-05-18,16:39:06,2026-05-18 16:39:06,Jakarta-Tangerang,siang_cctv_001_20260518_163906.mp4,frames\siang\siang_cctv_001_20260518_163906_frame_3s.jpg,3,siang_cctv_001_20260518_163906_frame_3s.jpg,km,KM 04+600,04+600,4.6,valid,valid,,KM 04+600,jakarta-tangerang_km_km_04plus600,CAM_010,-6.191542,106.753315,Google Maps,medium,,valid,,valid,2026-05-18T17:00,29.9,70,0.1,0.1,32,6.0,51,valid,
35,siang,siang,cctv_002,2026-05-18,16:48:44,2026-05-18 16:48:44,Jakarta-Tangerang,siang_cctv_002_20260518_164844.mp4,frames\siang\siang_cctv_002_20260518_164844_frame_3s.jpg,3,siang_cctv_002_20260518_164844_frame_3s.jpg,km,KM 15+500,15+500,15.5,valid,valid,,KM 15+500,jakarta-tangerang_km_km_15plus500,CAM_006,-6.2265884,106.6163871,Google Maps,medium,,valid,,valid,2026-05-18T17:00,29.7,72,0.0,0.0,17,6.2,0,valid,
36,siang,siang,cctv_003,2026-05-18,16:59:21,2026-05-18 16:59:21,Jakarta-Tangerang,siang_cctv_003_20260518_165921.mp4,frames\siang\siang_cctv_003_20260518_165921_frame_3s.jpg,3,siang_cctv_003_20260518_165921_frame_3s.jpg,km,KM 10+600,10+600,10.6,valid,valid,,KM 10+600,jakarta-tangerang_km_km_10plus600,CAM_003,-6.2225065,106.6394746,Google Maps,medium,,valid,,valid,2026-05-18T17:00,29.7,72,0.0,0.0,17,6.2,0,valid,
37,siang,siang,cctv_004,2026-05-18,17:06:59,2026-05-18 17:06:59,Jakarta-Tangerang,siang_cctv_004_20260518_170659.mp4,frames\siang\siang_cctv_004_20260518_170659_frame_3s.jpg,3,siang_cctv_004_20260518_170659_frame_3s.jpg,km,KM 13+600,13+600,13.6,valid,valid,,KM 13+600,jakarta-tangerang_km_km_13plus600,CAM_005,-6.2142883,106.6820298,Google Maps,medium,,valid,,valid,2026-05-18T17:00,29.9,70,0.0,0.0,21,5.2,1,valid,
38,siang,siang,cctv_005,2026-05-18,17:14:25,2026-05-18 17:14:25,Jakarta-Tangerang,siang_cctv_005_20260518_171425.mp4,frames\siang\siang_cctv_005_20260518_171425_frame_3s.jpg,3,siang_cctv_005_20260518_171425_frame_3s.jpg,km,KM 07+200,07+200,7.2,valid,valid,,KM 07+200,jakarta-tangerang_km_km_07plus200,CAM_011,-6.191635,106.730124,Google Maps,medium,,valid,,valid,2026-05-18T17:00,29.9,70,0.0,0.0,21,5.2,1,valid,
39,siang,siang,cctv_006,2026-05-18,16:16:10,2026-05-18 16:16:10,Jakarta-Tangerang,siang_cctv_006_20260518_161610.mp4,frames\siang\siang_cctv_006_20260518_161610_frame_3s.jpg,3,siang_cctv_006_20260518_161610_frame_3s.jpg,km,KM 07+200,07+200,7.2,valid,valid,,KM 07+200,jakarta-tangerang_km_km_07plus200,CAM_011,-6.191635,106.730124,Google Maps,medium,,valid,,valid,2026-05-18T16:00,30.5,66,0.0,0.0,74,6.5,2,valid,
40,siang,siang,cctv_007,2026-05-18,16:04:52,2026-05-18 16:04:52,Jakarta-Tangerang,siang_cctv_007_20260518_160452.mp4,frames\siang\siang_cctv_007_20260518_160452_frame_3s.jpg,3,siang_cctv_007_20260518_160452_frame_3s.jpg,km,KM 07+200,07+200,7.2,valid,valid,,KM 07+200,jakarta-tangerang_km_km_07plus200,CAM_011,-6.191635,106.730124,Google Maps,medium,,valid,,valid,2026-05-18T16:00,30.5,66,0.0,0.0,74,6.5,2,valid,
41,siang,siang,cctv_008,2026-05-18,15:19:34,2026-05-18 15:19:34,Jakarta-Tangerang,siang_cctv_008_20260518_151934.mp4,frames\siang\siang_cctv_008_20260518_151934_frame_3s.jpg,3,siang_cctv_008_20260518_151934_frame_3s.jpg,km,KM 07+200,07+200,7.2,valid,valid,,KM 07+200,jakarta-tangerang_km_km_07plus200,CAM_011,-6.191635,106.730124,Google Maps,medium,,valid,,valid,2026-05-18T15:00,31.3,62,0.1,0.1,84,6.5,51,valid,
