no,period,period_from_filename,cctv_id,overlay_date,overlay_time,timestamp_wib,ruas,video_file,selected_frame_path,selected_frame_second,selected_frame_file,location_type,location_text,km_text,km_decimal,manual_status,filename_parse_status,notes
32,pagi,pagi,cctv_015,2026-05-18,07:27:03,2026-05-18 07:27:03,Jakarta-Tangerang,pagi_cctv_015_20260518_072703.mp4,frames\pagi\pagi_cctv_015_20260518_072703_frame_3s.jpg,3,pagi_cctv_015_20260518_072703_frame_3s.jpg,km,KM 19+300,19+300,,need_location_input,valid,
33,pagi,pagi,cctv_016,2026-05-18,07:29:24,2026-05-18 07:29:24,Jakarta-Tangerang,pagi_cctv_016_20260518_072924.mp4,frames\pagi\pagi_cctv_016_20260518_072924_frame_3s.jpg,3,pagi_cctv_016_20260518_072924_frame_3s.jpg,km,KM 25+500,25+500,,need_location_input,valid,
34,siang,siang,cctv_001,2026-05-18,16:39:06,2026-05-18 16:39:06,Jakarta-Tangerang,siang_cctv_001_20260518_163906.mp4,frames\siang\siang_cctv_001_20260518_163906_frame_3s.jpg,3,siang_cctv_001_20260518_163906_frame_3s.jpg,km,KM 04+600,04+600,,need_location_input,valid,
35,siang,siang,cctv_002,2026-05-18,16:48:44,2026-05-18 16:48:44,Jakarta-Tangerang,siang_cctv_002_20260518_164844.mp4,frames\siang\siang_cctv_002_20260518_164844_frame_3s.jpg,3,siang_cctv_002_20260518_164844_frame_3s.jpg,km,KM 15+500,15+500,,need_location_input,valid,
36,siang,siang,cctv_003,2026-05-18,16:59:21,2026-05-18 16:59:21,Jakarta-Tangerang,siang_cctv_003_20260518_165921.mp4,frames\siang\siang_cctv_003_20260518_165921_frame_3s.jpg,3,siang_cctv_003_20260518_165921_frame_3s.jpg,km,KM 10+600,10+600,,need_location_input,valid,
37,siang,siang,cctv_004,2026-05-18,17:06:59,2026-05-18 17:06:59,Jakarta-Tangerang,siang_cctv_004_20260518_170659.mp4,frames\siang\siang_cctv_004_20260518_170659_frame_3s.jpg,3,siang_cctv_004_20260518_170659_frame_3s.jpg,km,KM 13+600,13+600,,need_location_input,valid,
38,siang,siang,cctv_005,2026-05-18,17:14:25,2026-05-18 17:14:25,Jakarta-Tangerang,siang_cctv_005_20260518_171425.mp4,frames\siang\siang_cctv_005_20260518_171425_frame_3s.jpg,3,siang_cctv_005_20260518_171425_frame_3s.jpg,km,KM 07+200,07+200,,need_location_input,valid,
39,siang,siang,cctv_006,2026-05-18,16:16:10,2026-05-18 16:16:10,Jakarta-Tangerang,siang_cctv_006_20260518_161610.mp4,frames\siang\siang_cctv_006_20260518_161610_frame_3s.jpg,3,siang_cctv_006_20260518_161610_frame_3s.jpg,km,KM 07+200,07+200,,need_location_input,valid,
40,siang,siang,cctv_007,2026-05-18,16:04:52,2026-05-18 16:04:52,Jakarta-Tangerang,siang_cctv_007_20260518_160452.mp4,frames\siang\siang_cctv_007_20260518_160452_frame_3s.jpg,3,siang_cctv_007_20260518_160452_frame_3s.jpg,km,KM 07+200,07+200,,need_location_input,valid,
41,siang,siang,cctv_008,2026-05-18,15:19:34,2026-05-18 15:19:34,Jakarta-Tangerang,siang_cctv_008_20260518_151934.mp4,frames\siang\siang_cctv_008_20260518_151934_frame_3s.jpg,3,siang_cctv_008_20260518_151934_frame_3s.jpg,km,KM 07+200,07+200,,need_location_input,valid,
